tokenID,name,description,file_name,external_url,attributes[Background],attributes[Base],attributes[Cloth],attributes[Face],attributes[Hair],attributes[Mouth],attributes[Tattoo],attributes[Facemask]
14,ZENK 14,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-14.png,,Iron balance ,Tan vessel ,Shinobi vest,Sharp eyes 4,Green cap,Nosemask 1,,
15,ZENK 15,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-15.png,,Temple sand,Earth vessel ,Orange bomber with white Tee,Sharp eyes 4,Spiked Shag – Deep Ocean,Nosemask 2,,
16,ZENK 16,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-16.png,,Midnight black,Azure vessel ,Forest bomber,Closed eyes ,Spiked Shag – Deep Ocean,Calm,,
17,ZENK 17,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-17.png,,Midnight black,Tan vessel ,Silver cloak,Calm eyes Ocean ,Ocean fade,Fangs out,,
18,ZENK 18,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-18.png,,Temple sand,Earth vessel ,Sage Tee,Closed eyes 3,Gold side sweep,Smiling,,
19,ZENK 19,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-19.png,,Sakura pink,Bronze vessel ,Basic Tee ,Determined blue eyes,Top Knot Flow – Neon Pink,Smirk,,
20,ZENK 20,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-20.png,,Forest zen,Spirit vessel ,Blaze jacket,Red eyes,,Neutral 3,,
21,ZENK 21,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-21.png,,Deep blue,Bronze vessel ,Forest tank,Neutral face 1,Short Fringe – Caramel,Blue Bubble Gum ,Web tattoo,
22,ZENK 22,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-22.png,,Zen sand,Zen vessel,Amethyst tank,Focused Ocean eyes,Zen Beanie - Gold Splatter,Smiling,,
23,ZENK 23,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-23.png,,Iron balance ,Shadow vessel 2,Sage Tee,Sharigan 2,Short Afro – Indigo,Neutral 2,,
24,ZENK 24,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-24.png,,Silver calm,Earth vessel ,Emerald suit ,Neutral face 1,Spiked Shag – Dark Violet,Neutral 3,,
25,ZENK 25,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-25.png,,Silver calm,Earth vessel ,Silver cloak,Red eyes,Sugegasa,Neutral,,
26,ZENK 26,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-26.png,,Golden calm,Shadow vessel,Brown kimono,Determined blue eyes,Sugegasa 2,Neutral 2,,Frost Potara Earrings 
27,ZENK 27,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-27.png,,Silver calm,Earth vessel ,Neon circuit jacket,Determined eyes,Straw Hat,Fangs out,,
28,ZENK 28,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-28.png,,Abyss night ,Earth vessel ,Zen garden kimono,Sharp eyes 4,Spiked Shag – Golden Blonde,Nosemask 1,,
29,ZENK 29,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-29.png,,Silver calm,Shadow vessel 2,Stealth utility jacket,Neutral face 1,Spiked Shag – Dusty Rose,Neutral 3,,
30,ZENK 30,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-30.png,,Zen sand,Cosmic vessel ,Stone tank,Ocean calm eyes,Ocean fade,Bubblegum 2,,
31,ZENK 31,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-31.png,,Iron balance ,Shadow vessel 2,Forest shirt ,Sharp eyes 4,Zen Bob – Shadow Black,Smiling,,
32,ZENK 32,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-32.png,,Silent mist,Bronze vessel ,Shadow scout jacket,Focused,Curly Fade – Platinum,Neutral 3,,
33,ZENK 33,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-33.png,,Ancient earth,Bronze vessel ,Ocean Tee,Sharigan eyes,Phantom sweep,Neutral 2,,
34,ZENK 34,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-34.png,,Deep blue,Zen vessel,Blaze jacket,Determined eyes,Messy Flow – Blonde,Wide Evil Smirk,,
35,ZENK 35,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-35.png,,Temple sand,Azure vessel ,Snow petals kimono,Closed eyes ,Top Knot Flow – navy blue,Sad Mouth ,,
36,ZENK 36,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-36.png,,Temple sand,Azure vessel ,Classic button shirt,Focused Ocean eyes,Top Knot Flow – Neon Violet,Calm,,Glasses
37,ZENK 37,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-37.png,,Forest zen,Tan vessel ,Onyx tank,Neutral face 1,Curly Fade – ZENKAI Bandana,Neutral 3,,
38,ZENK 38,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-38.png,,Golden calm,Tan vessel ,Zen suit,Ocean calm eyes,Short Afro – Blonde,Neutral,,
39,ZENK 39,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-39.png,,Zen rift,Inferno vessel,Sage Tee,Closed eyes ,Short Afro – Indigo,Sad Mouth ,,
40,ZENK 40,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-40.png,,Silent mist,Tan vessel ,Golden bomber,Closed eyes ,Spiked Shag – Inferno Fade,Evil Grin,,
41,ZENK 41,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-41.png,,Deep blue,Zen vessel,Sakura track jacket,Determined blue eyes,Short Fringe – Caramel,Calm,,
42,ZENK 42,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-42.png,,Abyss night ,Demon vessel,Silver cloak,Neutral face 1,Spiked Shag – Auburn,Neutral 3,Tattoo 1,
43,ZENK 43,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-43.png,,Midnight black,Zen vessel,Duality Tee,Sharp eyes,Straw Hat,Smiling,,
44,ZENK 44,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-44.png,,Sakura pink,Earth vessel ,Scout jacket,Ocean calm eyes,Spiked Shag – Dark Violet,Neutral,,
45,ZENK 45,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-45.png,,Silver calm,Earth vessel ,Snow petals kimono,Sharp eyes 2,,Neutral,Black tattoo ,
46,ZENK 46,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-46.png,,Zen sand,Dual vessel ,Arctic fade hoodie ,Sharp eyes 3,Short Afro – Indigo,Smirk,,
47,ZENK 47,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-47.png,,Silver calm,Azure vessel ,Basic Tee ,Sharp eyes 4,Sugegasa 2,Smiling,,
48,ZENK 48,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-48.png,,Midnight black,Bronze vessel ,Crimson hanfu ,Sharp eyes 3,Curly Fade – ZENKAI Bandana,Neutral,,
49,ZENK 49,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-49.png,,Temple sand,Azure vessel ,Rose suit,Closed eyes 2,Sugegasa,Nosemask 1,,
50,ZENK 50,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-50.png,,Silent mist,Azure vessel ,Classic white Tee,Red eyes,Messy Flow – NK Headband (Red),Neutral 2,,
51,ZENK 51,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-51.png,,Ancient earth,Earth vessel ,Stone turtleneck ,Sharp eyes 4,Spiked Shag – Teal Mist,Neutral,,
52,ZENK 52,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-52.png,,Silent mist,Inferno vessel,Classic white Tee,Predator eyes,Spiked Shag – Teal Mist,Neutral,,
53,ZENK 53,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-53.png,,Silent mist,Inferno vessel,Stealth utility jacket,Focused,Phantom sweep,Neutral,,
54,ZENK 54,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-54.png,,Silver calm,Tan vessel ,Duality Tee,Predator eyes,Spiked Shag – Inferno Fade,Nosemask 2,,
55,ZENK 55,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-55.png,,Temple sand,Bronze vessel ,Void turtleneck,Red eyes,,Neutral 3,,
56,ZENK 56,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-56.png,,Silent mist,Demon vessel,Classic white Tee,Ocean calm eyes,Shadow cross Fringe ,Neutral,Tattoo 1,Solar Potara Earrings 
57,ZENK 57,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-57.png,,Temple sand,Earth vessel ,Zen garden kimono,Ocean calm eyes,Green cap,Neutral,,
58,ZENK 58,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-58.png,,Zen sand,Zen vessel,Emerald suit ,Closed eyes 3,Messy Flow – Blonde,Calm,,
59,ZENK 59,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-59.png,,Silent mist,Azure vessel ,Blaze jacket,Sharp eyes 4,Gold side sweep,Sad Mouth ,,
60,ZENK 60,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-60.png,,Solar zen,Earth vessel ,Orange bomber,Glowing eyes,,Calm,,
61,ZENK 61,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-61.png,,Iron balance ,Zen vessel,Stealth utility jacket,Sharp eyes 4,Gold Splatter Beanie,Neutral 3,,
62,ZENK 62,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-62.png,,Abyss night ,Tan vessel ,Amethyst Tee,Sharp eyes 2,Curly Fade – midnight ,Wide Evil Smirk,,
63,ZENK 63,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-63.png,,Temple sand,Bronze vessel ,Scarlet button shirt,Sharp eyes 2,Spiked Shag – Golden Blonde,Clown 1,,
64,ZENK 64,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-64.png,,Iron balance ,Tan vessel ,Shadow kimono,Sharigan eyes,Ronin Straw Hat,Sad Mouth ,,
65,ZENK 65,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-65.png,,Deep blue,Shadow vessel 2,Shadow core,Focused Ocean eyes,Spiked Shag - Rainbow Spectrum,Neutral,,
66,ZENK 66,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-66.png,,Zen rift,Tan vessel ,Ocean track jacket ,Closed eyes 2,Curly Fade – Platinum,Smiling,,
67,ZENK 67,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-67.png,,Golden calm,Tan vessel ,Ranger bomber,Sharigan eyes,Green cap,Bear Mouth Mask,,
